date,code,open,high,low,close,volume,turn,peTTM,psTTM,pcfNcfTTM,pbMRQ,roeAvg
2025-07-17,sh.600028,5.66792064,5.67776078,5.62856008,5.63840022,93167056.0,0.0982,15.349533,0.230048,-91.136719,0.832203,0.016032
2025-07-18,sh.600028,5.6580805,5.73680162,5.64824036,5.72696148,147229551.0,0.1552,15.590625,0.233662,-92.568186,0.845274,0.016032
2025-07-21,sh.600028,5.71712134,5.84504316,5.7072812,5.82536288,204451701.0,0.2156,15.858505,0.237677,-94.158705,0.859797,0.016032
2025-07-22,sh.600028,5.82536288,5.9532847,5.81552274,5.93360442,276282828.0,0.2913,16.153173,0.242093,-95.908275,0.875773,0.016032
2025-07-23,sh.600028,5.96312484,5.98280512,5.91392414,5.92376428,220758883.0,0.2328,16.126385,0.241691,-95.749224,0.874321,0.016032
2025-07-24,sh.600028,5.92376428,5.94344456,5.86472344,5.88440372,180612845.0,0.1904,16.019233,0.240086,-95.113016,0.868512,0.016032
2025-07-25,sh.600028,5.88440372,5.98280512,5.86472344,5.86472344,165650097.0,0.1747,15.965657,0.239283,-94.794912,0.865607,0.016032
2025-07-28,sh.600028,5.86472344,5.87456358,5.77616218,5.78600232,140310308.0,0.1479,15.751353,0.236071,-93.522497,0.853988,0.016032
2025-07-29,sh.600028,5.77616218,5.83520302,5.76632204,5.8056826,100202208.0,0.1057,15.804929,0.236874,-93.840601,0.856893,0.016032
2025-07-30,sh.600028,5.82536288,5.9532847,5.81552274,5.91392414,156049278.0,0.1645,16.099597,0.24129,-95.590172,0.872869,0.016032
2025-07-31,sh.600028,5.94344456,5.96312484,5.8056826,5.91392414,182390721.0,0.1923,16.099597,0.24129,-95.590172,0.872869,0.016032
2025-08-01,sh.600028,5.81552274,5.83520302,5.57935938,5.59903966,408484171.0,0.4307,15.242381,0.228443,-90.500512,0.826393,0.016032
2025-08-04,sh.600028,5.56951924,5.57935938,5.5104784,5.5596791,166090318.0,0.1751,15.135229,0.226837,-89.864304,0.820584,0.016032
2025-08-05,sh.600028,5.5596791,5.62856008,5.5596791,5.61871994,123519813.0,0.1302,15.295957,0.229246,-90.818616,0.829298,0.016032
2025-08-06,sh.600028,5.6088798,5.63840022,5.58919952,5.61871994,99592089.0,0.105,15.295957,0.229246,-90.818616,0.829298,0.016032
2025-08-07,sh.600028,5.61871994,5.64824036,5.58919952,5.63840022,108643433.0,0.1146,15.349533,0.230048,-91.136719,0.832203,0.016032
2025-08-08,sh.600028,5.62856008,5.69744106,5.61871994,5.64824036,99553893.0,0.105,15.376321,0.23045,-91.295771,0.833655,0.016032
2025-08-11,sh.600028,5.64824036,5.66792064,5.58919952,5.58919952,121133853.0,0.1277,15.215593,0.228041,-90.34146,0.824941,0.016032
2025-08-12,sh.600028,5.58919952,5.69744106,5.58919952,5.66792064,152238050.0,0.1605,15.429897,0.231253,-91.613875,0.83656,0.016032
2025-08-13,sh.600028,5.64824036,5.67776078,5.61871994,5.62856008,103922284.0,0.1096,15.322745,0.229647,-90.977668,0.83075,0.016032
2025-08-14,sh.600028,5.63840022,5.66792064,5.58919952,5.59903966,101427356.0,0.1069,15.242381,0.228443,-90.500512,0.826393,0.016032
2025-08-15,sh.600028,5.59903966,5.6088798,5.5596791,5.58919952,131995669.0,0.1392,15.215593,0.228041,-90.34146,0.824941,0.016032
2025-08-18,sh.600028,5.59903966,5.61871994,5.57935938,5.58919952,138623096.0,0.1462,15.215593,0.228041,-90.34146,0.824941,0.016032
2025-08-19,sh.600028,5.59903966,5.59903966,5.56951924,5.57935938,90513095.0,0.0954,15.188805,0.22764,-90.182408,0.823488,0.016032
2025-08-20,sh.600028,5.57935938,5.63840022,5.54983896,5.62856008,142599355.0,0.1504,15.322745,0.229647,-90.977668,0.83075,0.016032
2025-08-21,sh.600028,5.62856008,5.77616218,5.61871994,5.76632204,292798362.0,0.3087,15.697777,0.235268,-93.204394,0.851083,0.016032
2025-08-22,sh.600028,5.73680162,5.76632204,5.66792064,5.73680162,191226250.0,0.2016,19.5844,0.243117,-49.019399,0.854264,0.026082
2025-08-25,sh.600028,5.73680162,5.76632204,5.69744106,5.74664176,169773327.0,0.179,19.617992,0.243534,-49.10348,0.855729,0.026082
2025-08-26,sh.600028,5.74664176,5.78600232,5.7072812,5.72696148,153399090.0,0.1617,19.550807,0.2427,-48.935318,0.852799,0.026082
2025-08-27,sh.600028,5.71712134,5.7564819,5.64824036,5.64824036,157792419.0,0.1664,19.282068,0.239364,-48.262667,0.841076,0.026082
